uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
1,31,1151545.6,451.0558558558559,2553,40614.5,11119.62222222222,2501.915,40,100076.6,11119.62222222222,21.11111111111111,526.718947368421,190,3816.1,1267.2984210526317,0.07442224833529182,0.08690632832950775,4.75,7,4.444444444444445,0.175,0.06994642104148222,80.4012991024119,14713.437735741376,86.98158334355162,608.8710834048613,367.8359433935344,796.5857142857143
3,12,641545.4,424.0220753469927,1513,6493.0,3651.225,1622.7666666666667,9,14604.9,3651.225,9.75,374.4846153846154,39,2509.05,1147.674358974359,0.025776602775941838,0.02276518544127976,4.333333333333333,5,2.25,0.5555555555555556,0.34235085485008454,79.01630246093018,2686.554283671626,129.61175307778436,648.0587653889218,298.50603151906955,433.9
4,13,996597.5,525.3545071164997,1897,94605.1,20892.275,3095.151851851852,54,167138.2,20892.275,31.625,660.6252964426878,253,2164.15,1139.4517786561264,0.13336847654190828,0.1677088292916649,4.685185185185185,23,6.875,0.42592592592592593,0.13761067188709702,85.86905650292775,19749.882995673383,173.18797057256978,3983.323323169105,365.73857399395155,602.9611111111111
5,8,1072364.3,438.774263502455,2444,9998.3,7184.4,2052.6857142857143,7,14368.8,7184.4,15.0,478.96,30,2524.45,1015.9483333333334,0.012274959083469721,0.01339917787266883,4.285714285714286,2,3.5,0.2857142857142857,0.13919046823673517,75.5666224692651,2115.8654291394228,137.84156483297613,275.68312966595226,302.2664898770604,751.25
6,11,1062382.0,447.69574378423937,2373,23604.1,6746.511111111111,2248.837037037037,27,60718.6,6746.511111111111,15.222222222222221,443.2014598540146,137,3826.35,1217.3474452554744,0.05773282764433207,0.05715326502143297,5.074074074074074,10,3.0,0.37037037037037035,0.16469417937831243,92.91653575726504,11800.40004117266,147.21108303950237,1472.1108303950236,437.05185337676517,540.3875
7,8,1099571.3,366.645981993998,2999,1319.1,954.8499999999999,1273.1333333333332,3,3819.4,954.8499999999999,3.0,318.28333333333336,12,918.8,672.5625,0.0040013337779259755,0.003473535549718331,4.0,0,1.0,0.0,0.0,78.38122491746908,940.5746990096291,,,313.52489966987633,
8,23,1020008.2,430.02032040472176,2372,44101.8,31254.600000000002,2841.3272727272724,44,125018.4,31254.600000000002,57.5,543.5582608695652,230,3551.65,1345.4104347826087,0.09696458684654301,0.12256607348842882,5.2272727272727275,14,11.0,0.3181818181818182,0.11198351602644091,80.85670768561816,17465.048860093524,184.1023020388465,2577.4322285438507,396.93292863848916,506.25
9,7,247300.9,422.7365811965812,585,7745.7,3368.775,2695.02,5,13475.1,3368.775,5.5,612.5045454545455,22,875.85,594.4719696969697,0.037606837606837605,0.05448868160204836,4.4,1,1.5,0.2,0.07421095205230388,44.29545945915772,930.2046486423121,22.302578326283307,22.302578326283307,186.04092972846243,450.9
10,23,1173557.1,396.4719932432433,2960,35222.2,11664.735714285713,1877.0839080459768,87,163306.3,11664.735714285713,29.357142857142858,397.3389294403893,411,3457.25,973.5143552311436,0.13885135135135135,0.13915496740635797,4.724137931034483,16,6.214285714285714,0.1839080459770115,0.09797539960185248,88.51852454828915,34964.817196574215,205.56022486695448,3288.9635978712718,401.8944505353358,498.69375
11,19,1139251.5,380.38447412353923,2995,67975.2,29292.528571428567,1934.4122641509434,106,205047.7,29292.528571428567,73.0,401.26751467710375,511,2488.65,1451.131409001957,0.17061769616026712,0.1799845775932707,4.820754716981132,27,15.142857142857142,0.25471698113207547,0.13167667815830167,83.02709886759739,40185.11585191714,127.36987466615412,3438.9866159861613,379.10486652752013,502.3363636363636
13,13,1051788.0,560.3558870538093,1877,13287.5,7129.633333333334,2376.5444444444447,18,42777.8,7129.633333333334,13.0,548.4333333333334,78,1685.75,1062.9814102564103,0.04155567394778902,0.04067150414342054,4.333333333333333,1,3.0,0.05555555555555555,0.023376611232929227,92.10928994537875,7092.415325794163,5.0447993022518745,5.0447993022518745,394.02307365523137,250.5
15,8,1089061.3,639.8715041128085,1702,72562.6,31255.96,2948.675471698113,53,156279.8,31255.96,48.2,648.4639004149377,241,3434.55,1434.5022821576763,0.14159811985898943,0.1434995440568864,4.547169811320755,6,10.6,0.11320754716981132,0.038392677748499804,90.90263348497291,21362.118868968635,79.19988783353325,475.1993270011995,403.05884658431387,509.15000000000003
16,16,1113067.4,502.2867328519855,2216,23705.5,7452.5,2745.657894736842,19,52167.5,7452.5,12.571428571428571,592.8125,88,1583.4,701.1630681818182,0.039711191335740074,0.04686823098044198,4.631578947368421,6,2.7142857142857144,0.3157894736842105,0.11501413715435856,75.12700392712216,6160.414322024017,151.99483440172173,911.9690064103304,324.23233273810615,612.1
17,21,1057781.6,458.9074186550977,2305,10366.3,5009.911111111111,2049.509090909091,22,45089.2,5009.911111111111,12.0,417.4925925925926,108,1947.65,822.0254629629629,0.04685466377440347,0.04262619051040403,4.909090909090909,5,2.4444444444444446,0.22727272727272727,0.1108912999121741,94.83642011203855,9768.151271539971,211.42000731476531,1057.1000365738266,444.0068759790896,617.575
