uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
80,4.0,39786.6,510.08461538461535,78.0,5375.0,3513.866666666667,1756.9333333333334,6.0,10541.6,3513.866666666667,8.666666666666666,405.44615384615383,26.0,1156.15,569.5192307692307,0.3333333333333333,0.26495352706690195,4.333333333333333,3.0,2.0,0.5,0.2845867799954466,87.37760188697087,2009.68484340033,142.4611104329427,427.38333129882807,334.947473900055,350.5333333333333,1.0,21.0,6.5,39.0,3.6996281399408057,4.666666666666667,45.0,45.0,1.0,4.268801699931699,4.268801699931699
81,3.0,37308.3,388.628125,96.0,4824.7,3210.9,963.2700000000001,10.0,9632.7,3210.9,9.666666666666666,332.1620689655173,29.0,2028.05,1027.9775862068966,0.3020833333333333,0.2581918768745829,2.9,2.0,3.3333333333333335,0.2,0.20762610690668243,95.93821490317094,2590.3318023856154,85.49999999999997,170.99999999999994,259.03318023856156,175.35000000000002,1.0714285714285714,27.0,4.4,44.0,4.567774351947014,2.5,54.0,54.0,1.0,5.605904886480426,5.605904886480426
82,1.0,28175.2,396.8338028169014,71.0,4959.1,4959.1,1239.775,4.0,4959.1,4959.1,13.0,381.4692307692308,13.0,1671.95,1102.4538461538461,0.18309859154929578,0.1760093983361254,3.25,1.0,4.0,0.25,0.20164949285152547,86.8096418062856,1041.7157016754272,34.03332519531244,34.03332519531244,260.4289254188568,400.5,1.0,13.0,5.25,21.0,4.234639349882035,1.0,25.0,25.0,1.0,5.041237321288136,5.041237321288136
84,3.0,24136.4,416.14482758620693,58.0,1685.7,1360.3,906.8666666666667,3.0,2720.6,1360.3,3.0,453.43333333333334,6.0,1962.05,1003.6583333333333,0.10344827586206896,0.11271772095258613,2.0,0.0,1.5,0.0,0.0,71.97568858580668,431.85413151484005,,,143.95137717161336,,1.0,6.0,3.0,9.0,3.3080938028376097,,12.0,12.0,1.0,4.410791737116813,4.410791737116813
85,3.0,92995.1,397.4149572649573,234.0,6641.6,3729.8,932.45,8.0,7459.6,3729.8,11.0,339.07272727272726,22.0,1605.3,1219.759090909091,0.09401709401709402,0.08021497906878965,2.75,0.0,4.0,0.0,0.0,79.99481796639064,1759.885995260594,,,219.98574940757425,,1.1111111111111112,22.0,5.375,43.0,5.764384149284144,,48.0,51.0,0.9411764705882353,6.43466137594509,6.836827711941659
86,5.0,84889.2,439.840414507772,193.0,8614.2,3861.9,891.2076923076924,13.0,11585.7,3861.9,10.0,386.19,30.0,1526.6,702.735,0.15544041450777202,0.1364802589728729,2.3076923076923075,0.0,4.333333333333333,0.0,0.0,71.1213179491514,2133.639538474542,,,164.12611834419553,,1.3529411764705883,30.0,3.769230769230769,49.0,4.229351700803576,,52.0,62.0,0.8387096774193549,4.488291600852775,5.35142460101677
88,4.0,37585.7,514.872602739726,73.0,1869.8000000000002,1869.8000000000002,934.9000000000001,2.0,1869.8000000000002,1869.8000000000002,4.0,467.45000000000005,4.0,964.0,802.9625,0.0547945205479452,0.04974764338564934,2.0,0.0,2.0,0.0,0.0,98.47083282470702,393.88333129882807,,,196.94166564941403,,1.0,4.0,4.0,8.0,4.278532463365066,,10.0,10.0,1.0,5.348165579206332,5.348165579206332
89,1.0,49695.7,376.4825757575757,132.0,4490.3,4490.3,748.3833333333333,6.0,4490.3,4490.3,14.0,320.7357142857143,14.0,1468.15,875.0357142857143,0.10606060606060606,0.09035590604418492,2.3333333333333335,0.0,6.0,0.0,0.0,66.3024181728293,928.2338544196103,,,154.7056424032684,,1.1428571428571428,13.0,3.8333333333333335,23.0,5.122152194730864,,29.0,29.0,1.0,6.458365810747611,6.458365810747611
90,3.0,39777.5,405.89285714285717,98.0,14237.6,9541.2,1734.7636363636366,11.0,19082.4,9541.2,22.5,424.05333333333334,45.0,976.2,367.4577777777777,0.45918367346938777,0.47972848972409027,4.090909090909091,6.0,5.5,0.5454545454545454,0.31442585838259335,98.97370915973158,3859.9746572295317,170.51109822591147,1023.0665893554688,350.9067870208665,601.05,1.4,27.0,4.818181818181818,53.0,2.777428415712908,2.0,51.0,64.0,0.796875,2.6726197962520435,3.353875822747663
91,2.0,18576.7,488.8605263157895,38.0,3972.8,3972.8,1324.2666666666667,3.0,3972.8,3972.8,7.0,567.5428571428572,7.0,1338.25,889.9357142857143,0.18421052631578946,0.21385929686112173,2.3333333333333335,0.0,3.0,0.0,0.0,84.47142682756696,591.2999877929688,,,197.0999959309896,,1.0,7.0,4.333333333333333,13.0,3.2722513089005236,,16.0,16.0,1.0,4.027386226339106,4.027386226339106
